Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,healthz,328,0,2900.0,2999.469917076303,3.3771030030038673,6436.758496998664,101.0,2.666045377623784,0.0,2900,3500,3700,3800,4400,5000,5700,6000,6400,6400,6400
GET,healthz-warm,200,0,1200.0,1313.2994083299855,331.387819001975,3110.6816249994154,101.0,1.625637425380356,0.0,1200,1500,1600,1700,2200,2300,2900,3000,3100,3100,3100
POST,predict,2615,0,3500.0,3514.2560816095847,37.66404800262535,7251.593865999894,353.0,21.255209336848157,0.0,3500,4000,4300,4500,5000,5700,6300,6600,7200,7300,7300
,Aggregated,3143,0,3300.0,3320.4790543671897,3.3771030030038673,7251.593865999894,310.6659242761693,25.546892139852297,0.0,3300,3800,4200,4400,4900,5500,6300,6500,7100,7300,7300
