Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,healthz,318,26,17000.0,15036.66136113849,1.3785689989163075,23237.2115199978,101.49056603773585,2.5889937110910277,0.21167873109549282,17000,18000,19000,20000,20000,21000,22000,22000,23000,23000,23000
GET,healthz-warm,800,0,5900.0,5758.803995457448,2460.5533390022174,8602.04805900139,101.0,6.5131917260151635,0.0,5900,6600,7000,7200,7600,7900,8200,8300,8600,8600,8600
POST,predict,2414,277,23000.0,19607.116738164023,1.3045070008956827,31360.583125999256,324.7721623860812,19.65355603325076,2.2551926351327505,23000,25000,26000,27000,27000,28000,29000,30000,31000,31000,31000
,Aggregated,3532,303,19000.0,16058.969794772358,1.3045070008956827,31360.583125999256,253.98471121177803,28.75574147035695,2.466871366228243,19000,23000,24000,26000,27000,28000,29000,30000,31000,31000,31000
