Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,healthz,2834,0,17,23.516911433926857,3.7002000026404858,203.1666999682784,102.0,23.334471552562345,0.0,17,22,27,31,43,62,93,120,190,200,200
GET,healthz-warm,400,0,150.0,238.48203024826944,28.041500016115606,564.4196000648662,102.0,3.2935033948570704,0.0,160,240,420,520,530,540,550,560,560,560,560
POST,predict,22422,0,13,19.073517402293344,2.2684000432491302,237.33560007531196,74.0,184.61733279871308,0.0,13,18,21,24,36,55,88,110,170,240,240
,Aggregated,25656,0,14,22.985116397617627,2.2684000432491302,564.4196000648662,77.52946679139383,211.2453077461325,0.0,14,18,23,26,41,67,110,160,540,560,560
