Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,healthz,1464,0,11,12.873823085419396,3.3300999784842134,288.28039998188615,102.0,12.033341831683817,0.0,11,13,15,16,19,23,27,32,120,290,290
GET,healthz-warm,200,0,510.0,488.78622050688136,100.3956999629736,1024.7974999947473,102.0,1.6438991573338548,0.0,510,550,570,580,600,690,1000,1000,1000,1000,1000
POST,predict,11235,0,8,8.979639536641043,2.3921000538393855,292.1204000012949,74.0,92.34603516322929,0.0,8,9,11,11,14,17,20,24,92,280,290
,Aggregated,12899,0,8,16.8610567712685,2.3921000538393855,1024.7974999947473,77.61206295061632,106.02327615224696,0.0,8,10,11,12,16,19,32,500,630,1000,1000
