Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,healthz,333,0,9,9.947939937397301,5.031100008636713,216.49570006411523,102.0,2.889612380612523,0.0,9,9,10,10,11,12,16,21,220,220,220
GET,healthz-warm,50,0,92,98.68303399998695,45.40990001987666,153.6367000080645,102.0,0.43387573282470315,0.0,99,110,130,140,150,150,150,150,150,150,150
POST,predict,2680,0,6,6.288291716821311,3.05499997921288,180.97949994262308,74.0,23.25573927940409,0.0,6,6,7,7,8,10,11,14,150,180,180
,Aggregated,3063,0,6,8.194396833246413,3.05499997921288,216.49570006411523,77.5011426705844,26.579227392841315,0.0,6,7,8,8,10,11,18,92,160,220,220
