Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,healthz,429,0,1500.0,1689.3828485455767,3.786085988394916,5782.0120959950145,102.0,3.517106390184134,0.0,1500,2000,2200,2400,2900,3400,4100,4800,5800,5800,5800
GET,healthz-warm,400,0,3900.0,3816.671509315056,1081.3049509888515,6641.954674007138,101.0,3.279353277560964,0.0,3900,4500,4800,5000,5500,6000,6100,6300,6600,6600,6600
POST,predict,3229,3229,1600.0,1673.7205302624448,9.412307990714908,6877.6039209915325,35.0,26.472579333110883,26.472579333110883,1600,2000,2200,2400,2700,3100,3500,4100,5100,6900,6900
,Aggregated,4058,3229,1700.0,1886.6085357243733,3.786085988394916,6877.6039209915325,48.58871365204534,33.26903900085598,26.472579333110883,1700,2100,2400,2600,3300,4200,5100,5600,6300,6900,6900
