Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,healthz,396,166,2100.0,1532.5611941767643,1.1881529999300255,4813.838279000038,103.51515151515152,3.2697823470422507,1.3706663373964991,2100,2500,2700,2800,3200,3600,4100,4200,4800,4800,4800
GET,healthz-warm,200,0,1500.0,1595.6250582999974,283.51676699981,3125.1219389998823,101.0,1.6514052257789145,0.0,1500,1800,2000,2200,2700,2900,3000,3100,3100,3100,3100
POST,predict,2877,1281,1900.0,3238.962787685783,1.2017670001114311,9456.015395999884,243.46715328467153,23.755464172829686,10.577250471113947,1900,5900,6600,7000,7600,7900,8600,8800,9300,9500,9500
,Aggregated,3473,1447,1700.0,2949.7596270446306,1.1881529999300255,9456.015395999884,219.3052116325943,28.67665174565085,11.947916808510447,1700,4700,6200,6700,7500,7800,8500,8800,9100,9500,9500
