inference-lb-1  | 172.18.0.1:52432 [23/Oct/2025:18:03:36.414] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/66/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52434 [23/Oct/2025:18:03:36.418] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/66/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52512 [23/Oct/2025:18:03:36.431] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/66/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51958 [23/Oct/2025:18:03:36.447] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/66/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:53074 [23/Oct/2025:18:03:28.294] inference_fe inference_be/srv1 0/0/0/8061/8171 200 479 - - ---- 200/200/65/65/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52910 [23/Oct/2025:18:03:28.523] inference_fe inference_be/srv1 0/0/0/7865/7945 200 479 - - ---- 200/200/64/64/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51760 [23/Oct/2025:18:03:36.475] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/64/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52496 [23/Oct/2025:18:03:28.407] inference_fe inference_be/srv1 0/0/0/8000/8073 200 479 - - ---- 200/200/63/63/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51968 [23/Oct/2025:18:03:28.658] inference_fe inference_be/srv1 0/0/0/7768/7825 200 479 - - ---- 200/200/62/62/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52480 [23/Oct/2025:18:03:28.530] inference_fe inference_be/srv1 0/0/0/7900/7954 200 479 - - ---- 200/200/61/61/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52460 [23/Oct/2025:18:03:28.270] inference_fe inference_be/srv1 0/0/0/8168/8214 200 479 - - ---- 200/200/60/60/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51578 [23/Oct/2025:18:03:36.514] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/60/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52224 [23/Oct/2025:18:03:36.520] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/60/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51708 [23/Oct/2025:18:03:36.543] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/60/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52352 [23/Oct/2025:18:03:28.466] inference_fe inference_be/srv1 0/0/0/7996/8080 200 479 - - ---- 200/200/59/59/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52502 [23/Oct/2025:18:03:36.557] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/59/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51644 [23/Oct/2025:18:03:36.562] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/59/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52712 [23/Oct/2025:18:03:36.583] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/59/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52004 [23/Oct/2025:18:03:36.594] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/59/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52676 [23/Oct/2025:18:03:36.619] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/59/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52528 [23/Oct/2025:18:03:36.633] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/59/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:53130 [23/Oct/2025:18:03:36.637] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/59/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:53098 [23/Oct/2025:18:03:36.650] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/59/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52884 [23/Oct/2025:18:03:36.652] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/59/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52314 [23/Oct/2025:18:03:36.654] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/59/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52386 [23/Oct/2025:18:03:36.663] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/59/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52646 [23/Oct/2025:18:03:36.672] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/59/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51660 [23/Oct/2025:18:03:36.672] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/59/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:53108 [23/Oct/2025:18:03:36.679] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/59/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52634 [23/Oct/2025:18:03:36.681] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/59/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52936 [23/Oct/2025:18:03:36.690] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/59/0/0 0/0 "POST /predict HTTP/1.1"
