Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,healthz,76,0,1000.0,1621.757637025822,2.936361008323729,5847.564343013801,101.98684210526316,1.2427916697276689,0.0,1100,1900,2600,2900,5500,5700,5800,5800,5800,5800,5800
GET,healthz-warm,200,0,1700.0,1871.5939166545286,499.9211370013654,3682.463093980914,101.0,3.2705043940201812,0.0,1700,2000,2400,2600,3000,3100,3400,3600,3700,3700,3700
POST,predict,478,478,800.0,1386.6293391937495,8.147540007485077,5794.458046992077,35.0,7.816505501708233,7.816505501708233,810,1800,2100,2500,4300,5300,5600,5600,5800,5800,5800
,Aggregated,754,478,1400.0,1538.967092678356,2.936361008323729,5847.564343013801,59.258620689655174,12.329801565456084,7.816505501708233,1400,1800,2200,2600,3500,5200,5600,5600,5800,5800,5800
