Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,healthz,8,0,11,14.155290991766378,3.864399011945352,37.12320898193866,101.375,0.06766946341397857,0.0,11,14,20,20,37,37,37,37,37,37,37
GET,healthz-warm,400,0,15000.0,13879.117485239687,957.8091060102452,18294.974913005717,101.0,3.3834731706989283,0.0,15000,16000,16000,16000,17000,17000,18000,18000,18000,18000,18000
POST,predict,35,0,400.0,615.3553846308829,45.90555399772711,2275.463074009167,354.0,0.29605390243615626,0.0,400,640,1000,1100,1900,2000,2300,2300,2300,2300,2300
,Aggregated,443,0,15000.0,12580.807392518936,3.864399011945352,18294.974913005717,120.99548532731377,3.747196536549063,0.0,15000,16000,16000,16000,17000,17000,18000,18000,18000,18000,18000
