Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,download_processed,53,0,14,19.781330207204622,8.032200043089688,190.04180002957582,16269.0,0.8714651390010463,0.0,14,16,17,17,24,38,93,190,190,190,190
GET,healthz,50,0,8,8.236763994209468,5.946799996308982,13.6202999856323,102.0,0.8221369235858927,0.0,8,8,9,9,10,10,14,14,14,14,14
GET,healthz-warm,16,0,31,30.844749991956633,12.097100028768182,49.105699989013374,102.0,0.26308381554748567,0.0,32,40,41,41,44,49,49,49,49,49,49
POST,predict,395,0,5,5.599064047188981,3.216100041754544,10.737399919889867,74.0,6.4948816963285525,0.0,5,6,6,6,7,8,9,9,11,11,11
,Aggregated,514,0,6,8.103881321407144,3.216100041754544,190.04180002957582,1747.5077821011673,8.451567574462977,0.0,6,7,8,8,12,17,32,41,190,190,190
