Method,Name,Error,Occurrences
POST,predict,HTTPError('503 Server Error: Service Unavailable for url: predict'),2230
POST,predict,"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",4
