timestamp,elapsed_sec,replicas,cpu_m,mem_mi,p95_latency_ms,queue_len
2025-11-12 10:38:22,0,3,90,327,0,0
2025-11-12 10:38:29,6.6,3,90,327,0,0
2025-11-12 10:38:35,13.4,3,664,327,0,0
2025-11-12 10:38:42,20,3,664,327,0,0
2025-11-12 10:38:49,26.6,3,664,327,0,0
2025-11-12 10:38:56,33.6,3,998,338,0,0
2025-11-12 10:39:02,40.1,3,998,338,0,0
2025-11-12 10:39:09,46.6,3,1000,345,0,0
2025-11-12 10:39:16,53.6,3,1000,345,0,0
2025-11-12 10:39:23,61.5,3,1000,348,0,0
2025-11-12 10:39:30,67.9,3,1000,348,0,0
2025-11-12 10:39:37,75,3,996,350,0,0
2025-11-12 10:39:44,81.5,3,996,350,0,0
2025-11-12 10:39:50,87.9,3,998,352,0,0
2025-11-12 10:39:57,94.6,3,998,352,0,0
2025-11-12 10:40:03,101.1,3,998,352,0,0
2025-11-12 10:40:10,107.7,3,998,353,0,0
2025-11-12 10:40:16,114.4,3,998,353,0,0
2025-11-12 10:40:23,121,3,1000,354,0,0
2025-11-12 10:40:30,127.6,3,1000,354,0,0
2025-11-12 10:40:36,134.3,3,996,354,0,0
2025-11-12 10:40:43,141,3,996,354,0,0
2025-11-12 10:40:50,147.5,3,996,354,0,0
2025-11-12 10:40:56,154.3,3,998,354,0,0
2025-11-12 10:41:03,160.9,3,998,354,0,0
2025-11-12 10:41:10,168.3,3,999,355,0,0
2025-11-12 10:41:17,175.2,3,999,355,0,0
2025-11-12 10:41:24,181.8,3,997,354,0,0
2025-11-12 10:41:30,188.3,3,997,354,0,0
