Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,healthz,257,0,5400.0,5111.642640536936,15.382658002636163,8005.54469099734,101.0,2.153275651038272,0.0,5400,5700,6000,6100,6400,6600,7100,7400,8000,8000,8000
GET,healthz-warm,200,0,1900.0,2074.8852002301282,358.8386100018397,4295.588912002131,101.0,1.675700895749628,0.0,1900,2100,2200,2400,3600,3800,4000,4200,4300,4300,4300
POST,predict,1983,0,6400.0,6354.402078560288,86.24527800202486,9864.358451002772,353.0,16.614574381357563,0.0,6400,6900,7200,7500,8400,8800,9100,9300,9800,9900,9900
,Aggregated,2440,0,6100.0,5872.724803462732,15.382658002636163,9864.358451002772,305.8016393442623,20.443550928145463,0.0,6100,6700,7000,7300,8100,8700,9100,9300,9700,9900,9900
