Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,download_processed,198,0,8,9.177876116228443,5.288766999001382,31.808243002160452,18732.0,1.6650168754158496,0.0,8,9,10,10,12,15,26,30,32,32,32
GET,healthz,211,0,4,3.8893201280279324,1.9733039989660028,24.82136199978413,15.0,1.7743361652158802,0.0,4,4,4,4,5,6,8,10,25,25,25
GET,healthz-warm,15,0,64,66.67817013367312,10.719934001826914,140.6424499982677,15.0,0.1261376420769583,0.0,64,84,100,110,120,140,140,140,140,140,140
GET,inference-discovery,1,1,2.6452069978404325,2.6452069978404325,2.6452069978404325,2.6452069978404325,22.0,0.008409176138463887,0.008409176138463887,3,3,3,3,3,3,3,3,3,3,3
POST,inference-discovery,2,2,2.3078640006133355,1003.948023500925,2.3078640006133355,2005.5881830012368,11.0,0.016818352276927774,0.016818352276927774,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
POST,upload,87,0,15,16.778374068879245,11.374238001735648,50.480833000619896,95.0,0.7315983240463582,0.0,15,16,16,18,25,28,41,50,50,50,50
,Aggregated,514,3,7,13.829374256856823,1.9733039989660028,2005.5881830012368,7238.589494163424,4.322316535170438,0.02522752841539166,7,9,11,13,16,25,50,93,2000,2000,2000
