Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,download_processed,172,1,8,8.297952802359061,1.342401999863796,22.18940999955521,18606.191860465115,1.4400637730296555,0.008372463796684044,8,9,9,9,10,13,18,20,22,22,22
GET,healthz,238,0,3,3.638097315183777,1.7479579983046278,24.423393999313703,15.0,1.9926463836108024,0.0,3,4,4,4,5,5,6,10,24,24,24
GET,healthz-warm,15,0,58,58.51174419998036,7.614669000759022,124.4345279992558,15.0,0.12558695695026065,0.0,58,77,94,100,100,120,120,120,120,120,120
GET,inference-discovery,3,3,3,4.132063998743736,2.284084999701008,6.833236999227665,39.666666666666664,0.025117391390052132,0.025117391390052132,3,3,7,7,7,7,7,7,7,7,7
POST,inference-discovery,2,2,3,3.1512300010945182,2.6917150025838055,3.610744999605231,22.0,0.016744927593368087,0.016744927593368087,4,4,4,4,4,4,4,4,4,4,4
POST,upload,95,0,15,16.018417936720653,11.686581001413288,42.84786499920301,95.0,0.7953840606849841,0.0,15,15,16,16,20,26,42,43,43,43,43
,Aggregated,525,6,6,8.973789641916353,1.342401999863796,124.4345279992558,6120.472380952381,4.395543493259123,0.050234782780104265,6,8,10,13,15,19,42,77,120,120,120
