Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,download_processed,17,0,3200.0,5225.2184428259225,6.386469001881778,27018.45796100679,16269.0,0.2913772924244387,0.0,3200,3900,4100,4500,27000,27000,27000,27000,27000,27000,27000
GET,download_warm,101,0,32000.0,32439.222884327264,22231.59341099381,41250.12719699589,16269.0,1.731123913815783,0.0,32000,37000,39000,39000,40000,40000,41000,41000,41000,41000,41000
GET,healthz,6,6,29000.0,20518.475050164852,2310.2374829904875,29367.11786700471,0.0,0.10283904438509602,0.10283904438509602,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,healthz-warm,200,200,22000.0,22274.55916748477,2276.071038999362,44815.965885005426,0.0,3.4279681461698672,3.4279681461698672,23000,29000,32000,34000,38000,40000,45000,45000,45000,45000,45000
POST,predict,35,35,28000.0,21759.050143456883,2310.1437150035053,29406.46813699277,0.0,0.5998944255797268,0.5998944255797268,28000,28000,29000,29000,29000,29000,29000,29000,29000,29000,29000
,Aggregated,359,241,27000.0,24247.29711327025,6.386469001881778,44815.965885005426,5347.470752089136,6.153202822374912,4.13070161613469,27000,30000,34000,35000,39000,40000,45000,45000,45000,45000,45000
