Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,download_processed,5,0,8,11.915240803500637,6.832171988207847,27.763104008045048,16269.0,0.17779533503093953,0.0,8,10,10,28,28,28,28,28,28,28,28
GET,download_warm,10,0,460.0,568.0489808000857,121.97832700621802,987.5182669929927,16269.0,0.35559067006187906,0.0,620,650,720,950,990,990,990,990,990,990,990
GET,healthz,7,0,4,7.4198142787541395,3.376654989551753,29.33401698828675,41.0,0.24891346904331535,0.0,4,4,4,4,29,29,29,29,29,29,29
GET,healthz-warm,10,0,300.0,260.02479920280166,60.94681200920604,385.1407969923457,41.0,0.35559067006187906,0.0,330,350,370,380,390,390,390,390,390,390,390
POST,predict,92,92,4,4.8503276840442,2.539527995395474,14.812672001426108,64.0,3.2714341645692873,3.2714341645692873,4,5,6,6,8,9,10,15,15,15,15
,Aggregated,124,92,5,71.27808750749776,2.539527995395474,987.5182669929927,2021.1290322580646,4.4093243087673,3.2714341645692873,5,6,8,10,340,420,720,950,990,990,990
