Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,healthz,1108,0,3000.0,2877.349730007212,4.136982002819423,8662.345607001043,101.0,6.15166339409557,0.0,3000,3500,3800,3900,4600,5400,6300,6700,8600,8700,8700
GET,healthz-warm,400,0,290.0,449.1282868825692,5.904917998122983,1542.890984001133,101.0,2.220817109781794,0.0,290,420,750,840,1100,1200,1300,1400,1500,1500,1500
POST,predict,8603,0,3500.0,3675.323182648055,44.887806001497665,10713.820174998546,353.89956991747067,47.76422398863193,0.0,3500,4200,4600,5000,5800,6500,7400,8100,9300,11000,11000
,Aggregated,10111,0,3400.0,3460.247270885397,4.136982002819423,10713.820174998546,316.1809909999011,56.136704492509296,0.0,3400,4000,4400,4800,5700,6400,7300,8000,9300,10000,11000
