Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,healthz,363,0,7700.0,7266.284333636548,126.28909699924407,10630.016758001148,101.0,2.984329457294765,0.0,7700,8000,8300,8500,8900,9300,9500,10000,11000,11000,11000
GET,healthz-warm,400,0,2900.0,2970.3416331125395,578.0823860004602,5522.816495998995,101.0,3.2885173083137906,0.0,2900,3200,3400,3500,3800,4000,5000,5200,5500,5500,5500
POST,predict,2784,0,9300.0,8970.446884758292,206.54001799994148,13741.177464999055,353.0,22.888080465863982,0.0,9300,9900,10000,10000,11000,12000,12000,13000,14000,14000,14000
,Aggregated,3547,0,8900.0,8119.40287384329,126.28909699924407,13741.177464999055,298.7919368480406,29.160927231472538,0.0,8900,9500,9900,10000,11000,12000,12000,13000,14000,14000,14000
