Timestamp,Replicas,p95_Latency_ms,Avg_Queue_Len,CPU_Percent,Active_Triggers
14:58:43,3,N/A,N/A,77.3,NO
14:58:57,3,N/A,N/A,99.5,NO
14:59:11,3,N/A,N/A,95.9,NO
