Timestamp,LocustP95ms,PrometheusP95ms,KEDALatencyms,CurrentReplicas,DesiredReplicas,CPUPercent,QueueLength,ScalingStatus
13:16:54,77000,NaN,Error,3,3,47,0,Stable
13:17:07,77000,1121,1120,3,3,47,0,Stable
13:17:19,77000,1210,1209,3,3,47,0,Stable
13:17:26,77000,1559,1556,3,3,47,0,Stable
13:17:32,77000,1739,1739,3,3,47,0,Stable
13:17:38,77000,1741,1741,3,3,47,0,Stable
13:17:44,77000,1834,1834,3,3,47,0,Stable
13:17:50,77000,1834,1834,3,3,47,0,Stable
13:17:56,77000,1835,1831,3,3,47,0,Stable
13:18:02,77000,1831,1831,3,3,N/A,0,Stable
13:18:09,77000,1857,1856,3,3,N/A,0,Stable
13:18:20,77000,1888,1888,3,3,N/A,0,Stable
